id,type,role,section,act,label,name,number
0000000599,Case,candidate,,,,,
statute:S.81,Statute,,81,,S.81,,
"statute:S.82 the Representation of the People Act, 1951",Statute,,82,"the Representation of the People Act, 1951","S.82 the Representation of the People Act, 1951",,
statute:S.81 (3) the Act,Statute,,81 (3),the Act,S.81 (3) the Act,,
statute:S.83 the Act,Statute,,83,the Act,S.83 the Act,,
statute:S.83,Statute,,83,,S.83,,
statute:S.82 the Act,Statute,,82,the Act,S.82 the Act,,
statute:S.83 (1),Statute,,83 (1),,S.83 (1),,
statute:S.90 (3),Statute,,90 (3),,S.90 (3),,
statute:S.30,Statute,,30,,S.30,,
statute:S.376,Statute,,376,,S.376,,
statute:S.82,Statute,,82,,S.82,,
statute:S.2,Statute,,2,,S.2,,
statute:S.79,Statute,,79,,S.79,,
statute:S.80 the Act,Statute,,80,the Act,S.80 the Act,,
statute:S.100,Statute,,100,,S.100,,
statute:S.101,Statute,,101,,S.101,,
statute:S.86,Statute,,86,,S.86,,
statute:S.85,Statute,,85,,S.85,,
statute:S.87,Statute,,87,,S.87,,
statute:S.90,Statute,,90,,S.90,,
statute:S.90s,Statute,,90s,,S.90s,,
statute:S.98,Statute,,98,,S.98,,
statute:S.119,Statute,,119,,S.119,,
statute:S.117,Statute,,117,,S.117,,
statute:S.81 the Act,Statute,,81,the Act,S.81 the Act,,
statute:S.4,Statute,,4,,S.4,,
statute:S.9 the Bills of Sale Act 1878,Statute,,9,the Bills of Sale Act 1878,S.9 the Bills of Sale Act 1878,,
statute:S.10,Statute,,10,,S.10,,
court:Commission,Court,,,,,Commission,
court:tribunal,Court,,,,,tribunal,
caseno:30/1963,CaseNumber,,,,,,30/1963
caseno:31/1963,CaseNumber,,,,,,31/1963
caseno:269/1962,CaseNumber,,,,,,269/1962
caseno:295/1962,CaseNumber,,,,,,295/1962
0000002886,Case,candidate,,,,,
statute:S.47,Statute,,47,,S.47,,
statute:S.65,Statute,,65,,S.65,,
statute:S.316,Statute,,316,,S.316,,
statute:S.316 the Act,Statute,,316,the Act,S.316 the Act,,
statute:S.256 the Act,Statute,,256,the Act,S.256 the Act,,
statute:S.259,Statute,,259,,S.259,,
statute:S.260,Statute,,260,,S.260,,
statute:S.314 the Act,Statute,,314,the Act,S.314 the Act,,
statute:S.256,Statute,,256,,S.256,,
statute:S.49,Statute,,49,,S.49,,
statute:S.49 the Amending Act,Statute,,49,the Amending Act,S.49 the Amending Act,,
statute:S.115,Statute,,115,,S.115,,
caseno:12/1928,CaseNumber,,,,,,12/1928
0000009122,Case,candidate,,,,,
statute:S.420,Statute,,420,,S.420,,
statute:S.409,Statute,,409,,S.409,,
statute:S.3,Statute,,3,,S.3,,
statute:S.5,Statute,,5,,S.5,,
statute:S.811/1/,Statute,,811/1/,,S.811/1/,,
statute:S.1,Statute,,1,,S.1,,
statute:S.150,Statute,,150,,S.150,,
statute:S.580,Statute,,580,,S.580,,
statute:S.300,Statute,,300,,S.300,,
statute:S.600,Statute,,600,,S.600,,
statute:S.149,Statute,,149,,S.149,,
statute:S.342,Statute,,342,,S.342,,
court:Punjab High Court,Court,,,,,Punjab High Court,
court:trial Court,Court,,,,,trial Court,
0000009256,Case,candidate,,,,,
statute:S.28(2),Statute,,28(2),,S.28(2),,
statute:S.28,Statute,,28,,S.28,,
statute:S.78(2),Statute,,78(2),,S.78(2),,
statute:S.33,Statute,,33,,S.33,,
statute:S.182,Statute,,182,,S.182,,
statute:S.9,Statute,,9,,S.9,,
statute:S.16(2),Statute,,16(2),,S.16(2),,
statute:S.28(2) the new Act,Statute,,28(2),the new Act,S.28(2) the new Act,,
statute:S.15,Statute,,15,,S.15,,
statute:S.31,Statute,,31,,S.31,,
statute:S.78,Statute,,78,,S.78,,
caseno:234/1932,CaseNumber,,,,,,234/1932
caseno:173/1930,CaseNumber,,,,,,173/1930
caseno:424/1930,CaseNumber,,,,,,424/1930
caseno:210/1927,CaseNumber,,,,,,210/1927
caseno:1480/1932,CaseNumber,,,,,,1480/1932
caseno:2/1927,CaseNumber,,,,,,2/1927
0000010271,Case,candidate,,,,,
statute:S.302,Statute,,302,,S.302,,
statute:S.34,Statute,,34,,S.34,,
statute:S.304,Statute,,304,,S.304,,
statute:S.313,Statute,,313,,S.313,,
statute:S.8,Statute,,8,,S.8,,
court:trial court,Court,,,,,trial court,
caseno:891/1985,CaseNumber,,,,,,891/1985
caseno:1320/1982,CaseNumber,,,,,,1320/1982
caseno:256/1981,CaseNumber,,,,,,256/1981
0000010498,Case,candidate,,,,,
statute:S.90(4),Statute,,90(4),,S.90(4),,
statute:S.83(1),Statute,,83(1),,S.83(1),,
statute:S.83(2),Statute,,83(2),,S.83(2),,
statute:S.80 the Representation of the People Act,Statute,,80,the Representation of the People Act,S.80 the Representation of the People Act,,
statute:S.85 the Act,Statute,,85,the Act,S.85 the Act,,
statute:S.85 the Representation of the People Act,Statute,,85,the Representation of the People Act,S.85 the Representation of the People Act,,
statute:S.90(4) the Act,Statute,,90(4),the Act,S.90(4) the Act,,
statute:S.82 the Representation of the People Act,Statute,,82,the Representation of the People Act,S.82 the Representation of the People Act,,
statute:S.83(1) the Act,Statute,,83(1),the Act,S.83(1) the Act,,
statute:S.83(2) the Act,Statute,,83(2),the Act,S.83(2) the Act,,
statute:S.83 (2) the Act,Statute,,83 (2),the Act,S.83 (2) the Act,,
"statute:S.80 the Representation of the People Act, 1951",Statute,,80,"the Representation of the People Act, 1951","S.80 the Representation of the People Act, 1951",,
statute:S.117 the Act,Statute,,117,the Act,S.117 the Act,,
statute:S.37 the Act,Statute,,37,the Act,S.37 the Act,,
statute:S.201,Statute,,201,,S.201,,
statute:S.123 the Representation of the People Act,Statute,,123,the Representation of the People Act,S.123 the Representation of the People Act,,
statute:S.6,Statute,,6,,S.6,,
statute:S.83(3),Statute,,83(3),,S.83(3),,
statute:S.123,Statute,,123,,S.123,,
statute:S.83(3) the Representation of the People Act,Statute,,83(3),the Representation of the People Act,S.83(3) the Representation of the People Act,,
statute:S.7,Statute,,7,,S.7,,
statute:S.7 the Representation of the People Act,Statute,,7,the Representation of the People Act,S.7 the Representation of the People Act,,
statute:S.450,Statute,,450,,S.450,,
court:Tribunal,Court,,,,,Tribunal,
court:commission,Court,,,,,commission,
